,,,Peak Area,Peak Area,Peak Area,Peak Area,Peak Area,Peak Area Ratio,Peak Area Ratio,Peak Area Ratio,Peak Area Ratio,JHIII concentration in hexane (ng/ml),JH concentration in hemolymph (ng/ml)
sample number,,Input volume (ul) of hemolymph,citronellol,farnesol1,farnesol2,methyl farnesoate,JHIII,farnesol1/citronellol,farnesol2/citronellol,methyl farnesoate/citronellol,JHIII/citronellol,sample JHIII/citronellol * standard mix 4 JHIII/citronellol,JHIII concentration in hexane * 200 / hemolymph volume
235,Bee sample 67,20,265569,22178,8161,326,38017,0.08,0.03,0.00,0.14,108.44,1084.37
340,Bee sample 68,20,270338,21980,7728,187,29321,0.08,0.03,0.00,0.11,82.16,821.58
227,Bee sample 69,20,278936,9852,14059,107,1102,0.04,0.05,0.00,0.00,2.99,29.93
237,Bee sample 70,20,291653,28495,11109,133,1862,0.10,0.04,0.00,0.01,4.84,48.36
239,Bee sample 71,10,258307,23125,8194,258,25732,0.09,0.03,0.00,0.10,75.46,1509.20
251,Bee sample 72,20,289128,11662,8130,83,2867,0.04,0.03,0.00,0.01,7.51,75.11
167,Bee sample 74,10,259553,11636,8799,194,974,0.04,0.03,0.00,0.00,2.84,56.85
346,Bee sample 75,20,304403,20729,8380,195,3984,0.07,0.03,0.00,0.01,9.91,99.14
314,Bee sample 76,20,280285,14110,9737,75,1265,0.05,0.03,0.00,0.00,3.42,34.19
169,Bee sample 77,9,263705,12124,11727,195,2163,0.05,0.04,0.00,0.01,6.21,138.07
241,Bee sample 80,15,290268,34504,11745,88,4804,0.12,0.04,0.00,0.02,12.54,167.16
243,Bee sample 81,20,270142,19411,9200,374,27510,0.07,0.03,0.00,0.10,77.14,771.40
253,Bee sample 82,5,275907,20755,7962,52,4398,0.08,0.03,0.00,0.02,12.07,482.98
229,Bee sample 83,20,298141,26300,15579,164,7088,0.09,0.05,0.00,0.02,18.01,180.09
171,Bee sample 84,12,259961,10628,4099,143,1463,0.04,0.02,0.00,0.01,4.26,71.05
281,Bee sample 85,17,273260,27546,15306,155,22952,0.10,0.06,0.00,0.08,63.62,748.52
338,Bee sample 86,18,293205,15368,0,78,3401,0.05,0.00,0.00,0.01,8.79,97.63
283,Bee sample 88,13,269051,13837,7452,111,27365,0.05,0.03,0.00,0.10,77.04,1185.29
257,Bee sample 89,20,269863,18822,15939,93,1723,0.07,0.06,0.00,0.01,4.84,48.36
285,Bee sample 90,5,241029,23832,7569,64,5482,0.10,0.03,0.00,0.02,17.23,689.14
328,Bee sample 91,20,291035,19319,9595,337,4637,0.07,0.03,0.00,0.02,12.07,120.69
259,Bee sample 92,20,277172,27513,0,100,1976,0.10,0.00,0.00,0.01,5.40,54.00
336,Bee sample 94,20,282268,20223,7318,190,7190,0.07,0.03,0.00,0.03,19.30,192.95
356,Bee sample 95,20,325242,17035,0,151,2845,0.05,0.00,0.00,0.01,6.63,66.26
352,Bee sample 96,20,286525,16700,8991,337,15565,0.06,0.03,0.00,0.05,41.15,411.50
287,Bee sample 97,20,281090,21105,7443,52,2933,0.08,0.03,0.00,0.01,7.90,79.04
271,Bee sample 98,13,242152,18378,8181,59,5983,0.08,0.03,0.00,0.02,18.72,287.94
324,Bee sample 99,10.5,279793,15778,7639,105,2688,0.06,0.03,0.00,0.01,7.28,138.62
185,Blank 2/18,,246540,12462,9916,34,63,0.05,0.04,0.00,0.00,0.19,
189,Blank 2/21,,450013,9672,12862,43,229,0.02,0.03,0.00,0.00,0.39,
195,Blank 2/22,,461627,12782,8357,56,103,0.03,0.02,0.00,0.00,0.17,
201,Blank 2/24,,454649,13332,0,75,0,0.03,0.00,0.00,0.00,0.00,
209,Blank 2/25,,259387,16647,6042,136,290,0.06,0.02,0.00,0.00,0.85,
215,Blank 3/1,,226815,19189,6448,82,178,0.08,0.03,0.00,0.00,0.59,
245,Blank 3/11,,237607,11436,0,27,113,0.05,0.00,0.00,0.00,0.36,
249,Blank 3/12,,223428,14841,9244,39,92,0.07,0.04,0.00,0.00,0.31,
255,Blank 3/14,,220445,12049,13117,26,102,0.05,0.06,0.00,0.00,0.35,
277,Blank 3/26,,227433,13988,14812,39,80,0.06,0.07,0.00,0.00,0.27,
293,Blank 3/28,,229012,14625,13865,70,75,0.06,0.06,0.00,0.00,0.25,
221,Blank 3/4,,253551,20994,9401,50,80,0.08,0.04,0.00,0.00,0.24,
225,Blank 3/6,,247854,35770,9857,56,143,0.14,0.04,0.00,0.00,0.44,
231,Blank 3/8,,203363,20881,7185,41,155,0.10,0.04,0.00,0.00,0.58,
316,Blank 4/18,,238327,7785,0,0,77,0.03,0.00,0.00,0.00,0.24,
173,Blank 4/26,,211867,8853,11088,69,81,0.04,0.05,0.00,0.00,0.29,
303,Blank 4/9,,229409,14149,6938,42,212,0.06,0.03,0.00,0.00,0.70,
