Inj.,Injection Name,Type ,Level ,Vial,Volume ,RT,Expected RT,Quant Ion,Area,Amount ,Theo. Amt ,Concentration ,RF,ISTD Amount ,ISTD Area ,Comment 
No.,Selected Peak:,,,Pos'n,µL,min,min,m/z,counts*min,n.a.,n.a.,n.a.,,n.a.,counts*min,
,,,,,,TIC,TIC,TIC,TIC,TIC,TIC,TIC,TIC,TIC,TIC,
,,,,,,[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],
188,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
189,Blank 2/21,Unknown,,11,2,9,n.a.,n.a.,12862,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
190,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
191,Bee sample 44,Unknown,,12,2,8.97,n.a.,n.a.,16971,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
192,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
193,Bee sample 49,Unknown,,13,2,8.97,n.a.,n.a.,18153,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
194,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
195,Blank 2/22,Unknown,,2,2,8.97,n.a.,n.a.,8357,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
196,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
197,Bee sample 36,Unknown,,3,2,9,n.a.,n.a.,7924,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
198,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
199,Bee sample 37,Unknown,,4,2,8.96,n.a.,n.a.,10366,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
200,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
201,Blank 2/24,Unknown,,5,2,9.05,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
202,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
203,Bee sample 39,Unknown,,6,2,8.94,n.a.,n.a.,8693,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
204,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
205,Bee sample 40,Unknown,,7,2,8.94,n.a.,n.a.,8888,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
206,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
207,Bee sample 46,Unknown,,8,2,9,n.a.,n.a.,5464,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
208,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
