BeeID,SocTreat,RelTreat,DaysTreat,NatCol,Pulled,Gas1,Gas2,Wadded,WNatCol,FirstOffEcl,DateColl,nEggs,uLHem,JHIII,Wing1,Wing2,ovR11,ovR12,ovR13,ovR14,Ooc11,Ooc12,Ooc13,Ooc14,ovR21,ovR22,ovR23,ovR24,Ooc21,Ooc22,Ooc23,Ooc24
QB055,social,offspring,4,DR3,20190214,20190226,20190227,20190429,WP7,20190428,20190502,43,21,280.963314,4.1,4.1,0,0,0,0,7.2,7.3,7.1,6.3,0,0,0,0,6.6,7.2,6,6.6
QB063,social,offspring,4,MP3,20190221,20190305,20190306,20190507,,20190506,20190510,9,19,179.4237926,3.7,3.9,1,0,0,1,7.5,6.1,6,4.1,1,1,1,0,5.1,4.5,6.6,6
QB094,social,offspring,4,QP2,20190307,20190319,20190320,20190507,,20190506,20190510,15,20,192.9505808,3.7,3.5,0,0,0,0,6.7,7,6.6,6.5,0,0,0,0,6.9,7.2,6.6,6.5
QB102,social,offspring,4,QP3,20190308,20190320,20190321,20190428,WP8,20190427,20190501,26,7,826.3573925,3.7,3.7,0,0,0,0,6.6,6.5,7.5,7.2,0,0,0,0,7.3,7.3,7.1,6.3
QB111,social,offspring,4,QP3,20190313,20190325,20190326,20190507,,20190506,20190510,16,20,123.2288118,3.9,3.8,0,0,0,0,6.9,6.6,6.7,6.8,0,0,0,0,7.5,7.4,6.6,6.7
QB033,solitary,offspring,4,DR2,20190204,20190216,20190217,NA,NA,20190406,20190410,0,20,29.68724084,NA,3.7,0,1,NA,NA,3.1,2.9,NA,NA,1,1,NA,NA,2.9,3,NA,NA
QB034,solitary,offspring,4,DR2,20190204,20190216,20190217,NA,NA,20190412,20190416,2,14,39.8537938,3.8,3.9,0,1,NA,NA,2.2,2.4,NA,NA,1,1,NA,NA,2.9,3.1,NA,NA
QB045,solitary,offspring,4,DR2,20190208,20190220,20190221,NA,NA,20190412,20190416,0,20,62.61505455,3.7,3.6,1,1,1,1,4,3.8,3.6,4,0,0,1,1,7.2,4.3,6.4,2.6
QB047,solitary,offspring,4,DR2,20190208,20190220,20190221,NA,NA,20190426,20190430,0,20,49.54797664,3.8,NA,1,1,1,1,6,10.2,2.4,5.8,1,1,1,1,6.3,5.9,6.1,5.9
QB075,solitary,offspring,4,MP3,20190222,20190306,20190307,NA,NA,20190527,20190531,11,20,99.14007599,3.8,3.9,0,1,0,,6.3,4.6,7.1,NA,1,1,1,1,6.3,5.9,7.2,6.8
